会员ID,注册日期,注册门店ID,注册渠道,会员等级,性别,年龄段,生日,城市,手机号,会员状态,最近活跃日期,等级升级日期
M0000001,2024-03-23,S00067,App,黑卡,女,30-34,1992-11-02,武汉,156****0925,有效,,2024-11-26
M0000002,2025-10-15,S00003,门店扫码,银卡,女,18-24,2006-04-07,上海,181****8272,有效,,2026-03-04
M0000003,2025-07-07,S00894,门店扫码,银卡,女,25-29,1999-07-01,郑州,156****0750,有效,,2025-09-23
M0000004,2024-05-12,S00434,门店扫码,普卡,女,40-49,1982-01-22,合肥,151****5940,有效,,
M0000005,2025-03-12,S00226,App,普卡,男,25-29,1997-11-16,青岛,182****2743,有效,,
M0000006,2024-06-01,S00427,门店扫码,普卡,女,25-29,1998-04-07,温州,198****4317,有效,,
M0000007,2024-11-16,S00314,小程序,金卡,女,25-29,2000-10-24,郑州,135****3931,有效,,2025-02-27
M0000008,2026-01-28,S00172,小程序,银卡,男,25-29,1999-10-17,北京,188****5913,有效,,2026-12-31
M0000009,2024-10-25,S00008,小程序,银卡,女,30-34,1995-07-01,广州,188****3623,有效,,2025-01-02
M0000010,2026-05-09,S00856,App,金卡,女,18-24,2004-01-10,上海,198****2452,有效,,2027-01-10
M0000011,2024-06-25,S00249,App,普卡,女,30-34,1994-02-11,杭州,173****0787,有效,,
M0000012,2025-08-05,S00842,App,普卡,女,40-49,1978-02-20,常州,153****3191,有效,,
M0000013,2025-01-05,S00934,小程序,银卡,男,35-39,1988-10-19,海口,154****7699,有效,,2025-02-09
M0000014,2026-05-01,S01084,门店扫码,普卡,女,30-34,1993-12-21,苏州,179****4699,有效,,
M0000015,2024-07-27,S00080,小程序,普卡,男,35-39,1990-02-13,乌鲁木齐,157****6459,有效,,
M0000016,2026-05-20,S00446,小程序,普卡,女,25-29,2000-12-06,泉州,159****1578,有效,,
M0000017,2024-09-04,S00003,小程序,普卡,男,40-49,1985-11-24,上海,179****2825,有效,,
M0000018,2024-05-15,S00772,App,普卡,男,30-34,1995-08-03,石家庄,192****2053,有效,,
